iter	RMSE
0	156607.6473
1	149186.6943
2	142788.3956
3	136926.2629
4	131900.2852
5	127360.8188
6	123556.3201
7	120156.7327
8	117213.0637
9	114669.6978
10	112427.3118
11	110406.2819
12	108638.9916
13	107076.1119
14	105682.6025
15	104413.2424
16	103336.4211
17	102413.4009
18	101597.4935
19	100850.7999
20	100114.0824
21	99523.82124
22	99059.91853
23	98480.90332
24	98036.86371
25	97603.13558
26	97159.11674
27	96867.59408
28	96493.25949
29	96256.98708
30	95961.43836
31	95726.04118
32	95462.89887
33	95311.39766
34	95168.91998
35	95015.64907
36	94879.08921
37	94750.25437
38	94638.14596
39	94394.92171
40	94320.57279
41	94160.65101
42	94066.83129
43	94004.14125
44	93836.67702
45	93706.83884
46	93630.46216
47	93544.53885
48	93494.46779
49	93397.01203
50	93301.71449
51	93179.0819
52	93082.48906
53	92993.79556
54	92888.89839
55	92818.6995
56	92761.46929
57	92688.45178
58	92630.525
59	92584.52912
60	92538.97672
61	92447.27549
62	92369.46782
63	92299.75912
64	92231.50941
65	92194.94882
66	92147.63869
67	92082.90472
68	92014.1104
69	91972.34459
70	91936.85597
71	91827.66793
72	91764.69718
73	91742.73434
74	91694.60169
75	91630.74343
76	91600.63948
77	91560.93068
78	91494.64318
79	91435.49242
80	91378.2673
81	91300.26728
82	91258.22479
83	91225.39657
84	91158.97316
85	91110.16707
86	91000.73595
87	90973.00091
88	90934.64926
89	90915.34239
90	90852.47525
91	90781.60232
92	90652.9938
93	90622.80043
94	90595.69454
95	90563.69247
96	90553.6991
97	90529.02412
98	90500.31751
99	90461.68059
100	90416.51484
101	90385.731
102	90363.42759
103	90337.16335
104	90322.16109
105	90265.49877
106	90192.65458
107	90134.90079
108	90097.71324
109	90031.33955
110	90005.25915
111	89961.08009
112	89885.51698
113	89848.7562
114	89820.56886
115	89761.01466
116	89746.03813
117	89668.72076
118	89642.18023
119	89533.61455
120	89497.78162
121	89479.30012
122	89460.88291
123	89407.52532
124	89354.91456
125	89326.79981
126	89272.64302
127	89242.38632
128	89225.87554
129	89188.01656
130	89178.88129
131	89111.82599
132	89077.73582
133	89034.21901
134	89012.63928
135	88984.86699
136	88945.26538
137	88884.40848
138	88820.12505
139	88774.34555
140	88739.55297
141	88708.69621
142	88684.15796
143	88651.31419
144	88587.56219
145	88534.47537
146	88500.89053
147	88428.48729
148	88382.89191
149	88336.58534
150	88319.29441
151	88285.23021
152	88273.07424
153	88234.23941
154	88218.03379
155	88177.63419
156	88161.59991
157	88130.57967
158	88115.93902
159	88057.5793
160	87995.94961
161	87967.67415
162	87938.43292
163	87931.96261
164	87870.45421
165	87822.47524
166	87800.20018
167	87777.74649
168	87756.6109
169	87715.56635
170	87690.36594
171	87628.94387
172	87589.8362
173	87557.21588
174	87536.68964
175	87516.57622
176	87473.61293
177	87441.04514
178	87418.4086
179	87397.30921
180	87390.55455
181	87346.07869
182	87325.96892
183	87296.68687
184	87286.26562
185	87242.76539
186	87218.25279
187	87190.89389
188	87177.77689
189	87134.81191
190	87122.50307
191	87102.08819
192	87070.11415
193	87056.19898
194	87043.28112
195	87010.37264
196	86970.65865
197	86922.2221
198	86893.7475
199	86843.89929
200	86819.15106
201	86767.24609
202	86752.2455
203	86687.67972
204	86648.07262
205	86637.2654
206	86616.55979
207	86578.34382
208	86539.00175
209	86515.07442
210	86471.08933
211	86435.82806
212	86435.16504
213	86422.11211
214	86401.51777
215	86365.30866
216	86357.63715
217	86337.63623
218	86304.24354
219	86272.79447
220	86263.538
221	86226.48002
222	86187.48543
223	86158.04811
224	86136.34968
225	86113.88287
226	86089.53716
227	86054.7287
228	86040.53619
229	86023.41009
230	85995.71012
231	85976.4467
232	85958.36524
233	85900.90404
234	85889.9773
235	85869.26329
236	85837.64764
237	85833.7126
238	85796.99089
239	85771.79787
240	85737.5502
241	85711.81942
242	85693.82255
243	85663.7476
244	85636.76729
245	85611.52634
246	85585.40717
247	85565.96801
248	85558.37948
249	85532.53537
250	85502.7574
251	85486.48823
252	85466.59352
253	85455.18009
254	85451.55906
255	85402.62173
256	85381.45324
257	85362.8455
258	85327.44417
259	85320.89292
260	85298.23264
261	85290.69175
262	85268.33608
263	85248.41188
264	85238.88246
265	85215.78123
266	85198.2185
267	85162.92315
268	85131.98282
269	85125.7855
270	85118.19217
271	85103.31005
272	85074.21185
273	85056.52147
274	85048.85507
275	85029.63617
276	84974.91688
277	84959.79497
278	84940.2744
279	84891.63078
280	84865.84501
281	84837.29297
282	84822.72108
283	84798.32375
284	84776.52335
285	84769.90826
286	84745.00424
287	84727.72179
288	84683.31427
289	84656.48703
290	84645.95991
291	84637.03003
292	84611.18872
293	84593.6274
294	84583.34002
295	84576.46644
296	84550.42189
297	84530.10575
298	84520.7375
299	84493.78212
300	84478.17697
301	84456.41597
302	84413.03323
303	84383.51854
304	84354.88405
305	84339.58246
306	84327.08127
307	84303.21513
308	84293.49478
309	84276.29383
310	84257.86973
311	84237.71348
312	84232.81181
313	84209.19403
314	84192.53588
315	84186.33046
316	84169.21908
317	84157.65112
318	84128.24125
319	84111.09736
320	84094.40462
321	84062.63383
322	84055.47674
323	84032.21217
324	84015.06912
325	84012.39799
326	84003.32953
327	83976.61413
328	83968.36994
329	83955.62724
330	83932.92676
331	83911.72672
332	83883.32478
333	83877.62216
334	83875.35508
335	83858.5796
336	83838.44645
337	83812.84577
338	83785.64571
339	83745.78434
340	83728.98189
341	83705.09001
342	83693.24585
343	83661.28401
