iter	Passed	Remaining
0	187	187009
1	220	110134
2	254	84603
3	289	72094
4	325	64835
5	394	65359
6	424	60280
7	446	55346
8	471	51889
9	498	49312
10	535	48161
11	563	46355
12	590	44850
13	613	43174
14	640	42063
15	672	41337
16	704	40753
17	733	40003
18	767	39621
19	802	39321
20	836	39008
21	881	39185
22	904	38409
23	931	37864
24	948	36984
25	974	36516
26	1005	36226
27	1032	35839
28	1053	35273
29	1090	35247
30	1125	35172
31	1155	34954
32	1194	35012
33	1218	34627
34	1243	34286
35	1282	34336
36	1314	34211
37	1342	33995
38	1368	33726
39	1391	33407
40	1438	33654
41	1465	33428
42	1508	33567
43	1538	33431
44	1579	33515
45	1603	33260
46	1622	32895
47	1663	32993
48	1692	32850
49	1717	32633
50	1744	32458
51	1768	32245
52	1799	32160
53	1832	32098
54	1865	32050
55	1901	32047
56	1931	31959
57	1958	31816
58	1982	31614
59	2016	31587
60	2035	31340
61	2071	31347
62	2099	31220
63	2136	31240
64	2164	31135
65	2199	31127
66	2227	31012
67	2246	30790
68	2279	30760
69	2304	30620
70	2319	30349
71	2346	30238
72	2378	30202
73	2410	30162
74	2438	30077
75	2477	30126
76	2506	30043
77	2534	29955
78	2576	30037
79	2617	30099
80	2646	30031
81	2677	29970
82	2697	29802
83	2726	29733
84	2747	29576
85	2772	29466
86	2809	29482
87	2828	29312
88	2857	29246
89	2888	29206
90	2926	29232
91	2949	29114
92	2973	28998
93	2998	28901
94	3034	28905
95	3062	28835
96	3097	28836
97	3132	28833
98	3157	28735
99	3196	28769
100	3222	28684
101	3261	28711
102	3289	28646
103	3321	28612
104	3362	28658
105	3398	28666
106	3443	28736
107	3485	28784
108	3507	28675
109	3545	28689
110	3564	28547
111	3599	28535
112	3640	28575
113	3676	28575
114	3715	28595
115	3742	28522
116	3779	28524
117	3812	28493
118	3851	28512
119	3884	28487
120	3917	28461
121	3946	28402
122	3970	28312
123	3989	28185
124	4021	28152
125	4048	28084
126	4076	28022
127	4107	27980
128	4143	27974
129	4163	27863
130	4192	27810
131	4223	27770
132	4243	27660
133	4273	27615
134	4297	27537
135	4321	27451
136	4355	27439
137	4390	27423
138	4417	27363
139	4439	27272
140	4457	27154
141	4497	27174
142	4535	27181
143	4562	27122
144	4590	27069
145	4619	27022
146	4643	26946
147	4667	26866
148	4696	26825
149	4726	26784
150	4758	26752
151	4781	26673
152	4808	26619
153	4834	26560
154	4872	26560
155	4909	26560
156	4942	26536
157	4966	26468
158	4994	26416
159	5023	26375
160	5052	26326
161	5073	26244
162	5090	26137
163	5121	26108
164	5147	26047
165	5186	26058
166	5214	26010
167	5242	25964
168	5270	25915
169	5288	25821
170	5313	25761
171	5346	25736
172	5364	25644
173	5385	25564
174	5408	25496
175	5430	25422
